Date,Time,Custom Game ID,Level,Home Team,Away Team,Site,Subsite,Partner,Sport,Game ID,BillTo
09/09/2021,06:00 PM,5359810,U-10,UPPER TOWNSHIP SA FORCE WHITE 2012,EGG HARBOR SC EAGLES WHITE 2012,UPPER TWP-Amanda's Field Complex,S7,GotSport,Soccer,,
09/09/2021,06:00 PM,5359789,U-10,UPPER TOWNSHIP SA FORCE GREEN 2012,EGG HARBOR SC EAGLES BLACK 2012,UPPER TWP-Amanda's Field Complex,S7,GotSport,Soccer,,
09/12/2021,11:00 AM,5208557,U-15,HIGHLAND YOUTH SC SEIGE 2007,PITMAN SA WILDCATS 2007,HIGHLAND - GLOUCESTER TWP PARK,F1,GotSport,Soccer,,
09/12/2021,11:00 AM,5209286,U-17,MEDFORD SC ARSENAL 2005,TBAA COSMOS 2005,MEDFORD - BENDE PARK,F1,GotSport,Soccer,,
09/12/2021,11:00 AM,5209315,U-19,PENNSAUKEN YOUTH VIPERS 2004,EGSA WOLVES 2004,Pennsauken Community Recreation Facility,F1,GotSport,Soccer,,
09/12/2021,11:00 AM,5209287,U-17,DEPTFORD SCORPIONS 2005,TBAA RAMPAGE 2005,DEPTFORD SC,F1,GotSport,Soccer,,
09/12/2021,11:00 AM,5209285,U-17,PENNS GROVE SC WILDCATS 2005,WASHINGTON TWP SC ARSENAL 2005,PG-CP-PED- Carney's Point Rec Center,F1,GotSport,Soccer,,
09/12/2021,11:00 AM,5225795,U-10,HADDON TWP RED HAWKS 2012,WASHINGTON TOWNSHIP SC PREDATORS 2012,HADDON TWP - CRYSTAL LAKE,S7,GotSport,Soccer,,
09/12/2021,11:00 AM,5223152,U-14,BERLIN SAVAGES 2008,VOORHEES SA AVATARS 2008,BERLIN SC - FRANKLIN FIELDS,F1,GotSport,Soccer,,
09/12/2021,11:00 AM,5208983,U-9,AUDUBON SOCCER YOUTH WILD WINGS 2013,RANCOCAS VALLEY SC MESSI 2013,AUDUBON - GREEN WAVE PARK,S1,GotSport,Soccer,,
09/12/2021,11:00 AM,5208945,U-9,HADDONFIELD SC REBELS 2013,HAMMONTON HEAT BLUE 2013,HADDONFIELD - CROWS WOODS,S7,GotSport,Soccer,,
09/12/2021,11:00 AM,5209316,U-19,MARLTON SC CHIEFS WHITE 2004,WINSLOW TOWNSHIP YSA WARRIORS 2003,MARLTON - MEMORIAL,F1,GotSport,Soccer,,
09/12/2021,11:00 AM,5207792,U-13,HARRISON SC HAWKS 2009,PITTSGROVE SC FORCE 2009,HARRISON - William Wilt Soccer Complex,F2,GotSport,Soccer,,
09/12/2021,11:00 AM,5208456,U-14,CHERRY HILL FC RAGE 2008,MEDFORD STRIKERS THUNDER 2008,CHFC - DeCOU,S9- Grass 9v9/D5,GotSport,Soccer,,
09/12/2021,11:00 AM,5208622,U-11,HADDONFIELD SC WHITE 2011,HADDON HEIGHTS SC 2011 STORM,HADDONFIELD - CROWS WOODS,S9,GotSport,Soccer,,
09/12/2021,11:30 AM,5222479,U-14,WASHINGTON TOWNSHIP SC BULLDOGS 2008,CINNAMINSON SC RAPTORS 2008,WASHINGTON TWP-WASH LAKE PARK,F3,GotSport,Soccer,,
09/12/2021,12:00 PM,5208169,U-12,BARRINGTON SC RED BULLS 2010,NORTHERN BURLINGTON SA BLAST 2010,BARRINGTON - DERRE,S1,GotSport,Soccer,,
09/12/2021,12:00 PM,5226456,U-9,EGSA DYNAMO 2013,MARLTON SC CHIEFS ORANGE 2013,E GREENWICH - THOMPSON FAMILY PARK,S7.2,GotSport,Soccer,,
09/12/2021,12:00 PM,5208935,U-15,PALMYRA RIVERTON SC FLASH 2007,WINSLOW TOWNSHIP YSA PANTHERS 2007,PAL-RIV - LEGION FIELD,F1,GotSport,Soccer,,
