ID,Date,Start Time,Age,Home Team,Away Team,Venue,Pitch
5209316,9/12/21,11:00 AM,U19,Marlton Recreation Council Marlton SC Chiefs White 2004,Winslow Township YSA Winslow Warriors 2003,Marlton-Cherokee High School Turf,Cherokee HS Main Turf F1.2
5207540,9/12/21,12:00 PM,U9,Cherry Hill SC CHERRY HILL SC Force 2013,Mount Laurel United Mount Laurel United Tigers 2013,CHSC-Cherry Hill West High School,7v7 (Freshman)
5226201,9/12/21,12:00 PM,U8,Medford SC Medford SC Force 2014,Deptford SA Deptford Premier Futures 2014,Bob Bende Park,Matrix Field 4
5223055,9/12/21,1:00 PM,U13,Marlton Recreation Council Marlton SC Chiefs Orange 2009 (Petulla),TBAA TBAA Storm 2009,Marlton-Cherokee High School Turf,Cherokee HS Main Turf F1.2
5207522,9/12/21,1:30 PM,U9,Medford SC Medford SC Columbia 2013,Burlington Township Soccer BURLINGTON TWP STRIKERS 2013,Bob Bende Park,Matrix Field 4
5226564,9/12/21,1:30 PM,U9,Voorhees SA Voorhees SA Predators 2013,Hammonton YSA HAMMONTON HEAT Silver 2013,VSA-Echelon Soccer Complex,Echelon Complex 5 S7.2 S9.2
5258014,9/12/21,1:30 PM,U10,Cherry Hill SC CHERRY HILL SC Bull Dogs (2012) - BOYS,Cinnaminson SC Cinnaminson SC Skulls 2012,CHSC-Cherry Hill West High School,7v7 (Freshman)
5208838,9/12/21,3:00 PM,U8,Medford SC Medford SC Avengers 2014,Burlington Township Soccer BURLINGTON TWP DYNAMITE 2014,Bob Bende Park,Matrix Field 4
5208840,9/12/21,3:00 PM,U8,Cherry Hill SC CHERRY HILL SC Force 2014,Haddonfield SC Haddonfield SC Rebels 2014,CHSC-Cherry Hill West High School,7v7 (Freshman)
5208897,9/12/21,3:30 PM,U11,Northern Burlington SA Northern Burlington SA Hooligans 2011,Pennsville Soccer Association Pennsville Hawks 2011,Northern Burlington Springfield Veterans Park,Northern Burlington Springfield 9 V 9 Fields
5225305,9/12/21,3:30 PM,U11,Cherry Hill SC Cherry Hill SC Storm 2011,Pittsgrove Soccer Club Pittsgrove SC Wolves 2011,CHSC-Cherry Hill West High School,9v9 (JV Grass Field)
5207576,9/19/21,3:30 PM,U11,Cherry Hill SC Cherry Hill SC Ambush 2011,Moorestown SC Moorestown SC Black Knights 2011,CHSC-Cherry Hill West High School,9v9 (JV Grass Field)
5208837,9/19/21,12:30 PM,U8,Cherry Hill SC CHERRY HILL SC Force 2014,Gateway United Soccer Club Gateway United SC Boys 2014,CHSC-Cherry Hill West High School,7v7 (Freshman)
5208980,9/19/21,2:00 PM,U9,Cherry Hill SC Cherry Hill SC Mavericks 2013,Egg Harbor Township SC Egg Harbor SC Eagles White 2013,CHSC-Cherry Hill West High School,7v7 (Freshman)
5207829,9/19/21,3:30 PM,U9,Cherry Hill SC Cherry Hill SC Thunder 2013,Pennsauken Youth Soccer Club Pennsauken Rebels 2013,CHSC-Cherry Hill West High School,7v7 (Freshman)
5226226,9/19/21,11:00 AM,U8,Cherry Hill SC CHERRY HILL SC United BOYS 2014,Washington TWP Soccer Club Washington Twp SC Red 2014,CHSC-Cherry Hill West High School,7v7 (Freshman)
5208835,9/19/21,3:30 PM,U8,Medford SC Medford SC Avengers 2014,Delran FC Soccer DELRAN FC U8B,Bob Bende Park,Matrix Field 4
5207830,9/19/21,12:30 PM,U9,Medford SC Medford SC Blue Devils 2013,Mainland United SA Mainland United SA Stangs 2013,Bob Bende Park,Matrix Field 4
5225963,9/19/21,2:00 PM,U10,Medford SC Medford SC Destroyers 2012,Cherry Hill FC Cherry Hill FC Juniors Black 2012,Bob Bende Park,Matrix Field 4
5226225,9/19/21,11:00 AM,U8,Medford SC Medford SC Force 2014,Marlton Recreation Council Marlton SC Chiefs Orange 2014 (Reed),Bob Bende Park,Matrix Field 4
5224688,9/19/21,10:30 AM,U12,Medford SC Medford SC Mad Dogs White 2010,Deptford SA Deptford Demons 2010,Bob Bende Park,Turf 9v9
5208164,9/19/21,1:00 PM,U12,Northern Burlington SA Northern Burlington SA Blast 2010,Swedesboro Woolwich Soccer Association SWSA Wolverines 2010,Northern Burlington Springfield Veterans Park,Northern Burlington Springfield 9 V 9 Fields
5208103,9/19/21,3:00 PM,U8,Northern Burlington SA Northern Burlington SA Blue Devils 2014,Swedesboro Woolwich Soccer Association SWSA Thunder 2014,Northern Burlington Springfield Veterans Park,Northern Burlington Springfield 7 V 7 Fields
5208145,9/19/21,12:00 PM,U10,Northern Burlington SA Northern Burlington SA Rangers 2012,East Greenwich SA EGSA Rangers 2012,Northern Burlington Springfield Veterans Park,Northern Burlington Springfield 7 V 7 Fields
5207875,9/26/21,2:00 PM,U10,Cherry Hill SC Cherry Hill SC Blue Army 2012,Moorestown SC Moorestown SC Black Dragons 2012,CHSC-Cherry Hill West High School,7v7 (Freshman)
5209062,9/26/21,3:00 PM,U11,Bordentown FC Bordentown FC Jaguars 2011,Collingswood Travel Soccer Club Collingswood SC Wild 2011,Bordentown-Friendship Fields,Friendship 7.S9
5207523,9/26/21,3:30 PM,U9,Medford SC Medford SC Columbia 2013,Voorhees SA Voorhees SA B 2013,Bob Bende Park,Matrix Field 4
5226215,9/26/21,3:30 PM,U8,Cherry Hill SC CHERRY HILL SC United BOYS 2014,Medford SC Medford SC Force 2014,CHSC-Cherry Hill West High School,7v7 (Freshman)
5225970,10/3/21,12:30 PM,U10,Medford SC Medford SC Destroyers 2012,West Deptford SC West Deptford SC Union 2012,Bob Bende Park,Matrix Field 4
