Date,Time,Game ID,Custom Game ID,Partner,Sport,Level,Home Team,Away Team,Site,Subsite,BillTo
9/26/21,10:30:00 AM,,5207963,GotSport,Soccer,U-13,DEPTFORD AVENGERS 2009,MANTUA TOWNSHIP SA STRIKERS 2009,DEPTFORD SC,,
9/26/21,11:00,,5208450,GotSport,Soccer,U-14,CHERRY HILL FC RAGE 2008,SWEDESBORO-WOOLWICH KINGS 2008,CHFC - DeCOU,S9- Grass 9v9/D5,
9/26/21,11:00,,5221163,GotSport,Soccer,U-10,EGSA VENOM 2012,SOUTH HARRISON STRIKERS 2012,E GREENWICH - THOMPSON FAMILY PARK,S7.2,
9/26/21,11:00,,5224848,GotSport,Soccer,U-12,AUDUBON SOCCER YOUTH UNITED 2010,GATEWAY UNITED JAGUARS 2010,AUDUBON - GREEN WAVE PARK,S1,
9/26/21,11:00,,5209281,GotSport,Soccer,U-17,DEPTFORD SCORPIONS 2005,PENNS GROVE SC WILDCATS 2005,DEPTFORD SC,F1,
9/26/21,11:00,,5208602,GotSport,Soccer,U-11,HADDONFIELD SC WHITE 2011,MOUNT LAUREL UNITED WARRIORS 2011,HADDONFIELD - CROWS WOODS,S9,
9/26/21,11:00,,5209310,GotSport,Soccer,U-19,MARLTON SC CHIEFS WHITE 2004,EGSA WOLVES 2004,MARLTON - MEMORIAL,F1,
9/26/21,11:00,,5209280,GotSport,Soccer,U-17,MEDFORD SC ARSENAL 2005,WASHINGTON TWP SC ARSENAL 2005,MEDFORD - BENDE PARK,F1,
9/26/21,11:00,,5226569,GotSport,Soccer,U-9,CINNAMINSON SC THUNDERBIRDS 2013,CHERRY HILL FC JUNIORS RED 2013,CINNAMINSON SC - MEMORIAL,S7.2,
9/26/21,11:00,,5208449,GotSport,Soccer,U-14,MOORESTOWN SC RAPIDS 2008,MEDFORD STRIKERS THUNDER 2008,MOORESTOWN - MEMORIAL FIELDS,F1,
9/26/21,11:30,,5208600,GotSport,Soccer,U-11,CLAYTON SA CLIPPERS 2011,PENNS GROVE SC RAGE 2011,CLAYTON - BENTZ,S9,
9/26/21,12:00,,5208854,GotSport,Soccer,U-10,CFC SOUTH - REAL MADRID 2012B,DELRAN FC FLASH 2012,Centercourt,Centercourt,
9/26/21,12:00,,5208874,GotSport,Soccer,U-10,HAMILTON ELITE FC PREMIER 2012B,HADDONFIELD SC FIRE 2012,HAMILTON ELITE FC - HICKORY,S7,
9/26/21,12:00,,5208875,GotSport,Soccer,U-10,COLLINGSWOOD TRAVEL KNIGHTS 2012,MOUNT LAUREL UNITED IMPACT 2012,COLLINGSWOOD - KROC CENTER,S7,
9/26/21,12:00,,5208143,GotSport,Soccer,U-10,SENECA UNITED SC DESTROYERS 2012,NORTHERN BURLINGTON SA RANGERS 2012,SENECA - STONEY CREEK FIELDS,S7,
9/26/21,12:00,,5208451,GotSport,Soccer,U-14,BURLINGTON TWP SC BLAZERS 2008,HADDONFIELD SC RED 2008,BURLINGTON TWP - PINEWALD AVE,F1,
9/26/21,12:00,,5208161,GotSport,Soccer,U-12,MOUNT LAUREL UNITED FORCE 2010,NORTHERN BURLINGTON SA BLAST 2010,MLU-TROTTERS,S9,
9/26/21,12:00,,5223844,GotSport,Soccer,U-13,SWEDESBORO WOOLWICH FORCE 2009,HADDON TWP WHITE HAWKS 2009,SW-Locke Avenue Park,F1,
9/26/21,12:00,,5208512,GotSport,Soccer,U-10,HIGHLAND YOUTH FORCE 2012,HARRISON SC THUNDERBOLTS 2012,HIGHLAND - GLOUCESTER TWP PARK,S7,
9/26/21,12:00,,5208598,GotSport,Soccer,U-11,GCU U11 2011,HADDON TWP WHITE HAWKS 2011,GCU - NEHAUNSEY MS,S9,
