Date,Time,Game ID,Custom Game ID,Partner,Sport,Level,Home Team,Away Team,Site,Subsite,BillTo
08/25/2022,18:00,8338165,,GotSport,Soccer,U-8,Berlin Soccer Club Berlin Soccer Club Berserkers 2015,Haddon Twp Soccer Club Haddon Twp Soccer Club White Hawks 2015,BERLIN SC - FRANKLIN FIELDS,,
09/11/2022,10:00,7947127,,GotSport,Soccer,U-15,MOORESTOWN SC RAPIDS 2008,CINNAMINSON SC RAPTORS 2008,CINNAMINSON SC - MEMORIAL,F1,
09/11/2022,11:00,7810583,,GotSport,Soccer,U-16,VOORHEES SA BLACK CATS 2007,TBAA MUSTANGS 2007,VOORHEES-EASTERN HS,,
09/11/2022,11:00,7830045,,GotSport,Soccer,U-14,CHERRY HILL FC DRAGONS 2009,TBAA STORM 2009,CHFC - DeCOU,,
09/11/2022,11:00,7808099,,GotSport,Soccer,U-18,Deptford SA Deptford SA Scorpions 2005/2006,Marlton Soccer Club Marlton SC Chiefs Orange 2006,DEPTFORD SC,,
09/11/2022,11:00,7723888,,GotSport,Soccer,U-8,Cherry Hill SC CHERRY HILL SC Warriors 2015,Haddonfield SC Haddonfield SC Rebels 2015,CHSC - UPPER CHAPEL TURF,S7,
09/11/2022,11:00,7726426,,GotSport,Soccer,U-15,Marlton Soccer Club Marlton SC Chiefs White 2008,Tar-Kill Soccer Club Tar-Kill Soccer Club Blue Dragons 2008,MARLTON - MEMORIAL,F1,
09/11/2022,11:00,7988861,,GotSport,Soccer,U-11,Pittsgrove Soccer Club Pittsgrove Soccer Club Spurs 2012,EGG HARBOR SC EAGLES BLACK 2012,PITTSGROVE-GREEN BRANCH,S9,
09/11/2022,11:00,7829786,,GotSport,Soccer,U-13,MEDFORD SC MAD DOGS WHITE 2010,Hammonton YSA HAMMONTON YSA HEAT 2010,MEDFORD - BENDE PARK,F1,
09/11/2022,11:00,7972257,,GotSport,Soccer,U-13,BORDENTOWN FC PANTHERS 2010,CHERRY HILL SC THUNDERBOLTS 2010,BORDENTOWN - FRIENDSHIP FIELDS,F1,
09/11/2022,11:15,7748591,,GotSport,Soccer,U-10,Cape Express Cape Express Avengers 2013,Hammonton YSA HAMMONTON YSA HEAT BLUE 2013,CAPE EX SOCCER COMPLEX At Ockie Wisting,S7,
09/11/2022,11:30,7810425,,GotSport,Soccer,U-11,Woodstown Soccer Club Woodstown Soccer Club Thunder 2012,CLAYTON SA CLIPPERS 2012,WOODSTOWN,S9,
09/11/2022,11:30,7739832,,GotSport,Soccer,U-13,Audubon Soccer Youth Association Audubon Soccer Youth Association United 2010,UPPER TOWNSHIP SA RIPTIDE 2010,AUDUBON - GREEN WAVE PARK,,
09/11/2022,11:30,7809909,,GotSport,Soccer,U-13,Mainland United SA Mainland United SA Mustangs B 2011 ,MANTUA TOWNSHIP SA RAPTORS 2010,MAINLAND - MEMORIAL PARK,,
09/11/2022,11:30,7808828,,GotSport,Soccer,U-13,East Greenwich SA East Greenwich SA Chargers 2010,Winslow Township YSA Winslow Township YSA Slayers 2010,E GREENWICH - THOMPSON FAMILY PARK,F2,
09/11/2022,12:00,7808096,,GotSport,Soccer,U-18,Gateway United Soccer Club Gateway United Soccer Club Warriors 2006,Woodstown Soccer Club Woodstown Soccer Club Wolverines 2006,GATEWAY UTD. - WESTVILLE,,
09/11/2022,12:00,7728902,,GotSport,Soccer,U-13,NORTHERN BURLINGTON SA BLAST 2010,Pennsauken Youth Soccer Club Pennsauken Youth Soccer Club Cyclones 2010,NB- MANSFIELD TOWNSHIP ELEMENTARY SCHOOL,F1,
09/11/2022,12:00,7849905,,GotSport,Soccer,U-9,MOUNT LAUREL UNITED LIGHTNING 2014,Swedesboro Woolwich Soccer Assoc. Swedesboro Woolwich Soccer Assoc. Dragons 2014,MLU-TROTTERS,S7.2,
09/11/2022,12:00,8015052,,GotSport,Soccer,U-12,Monroe Township YS Monroe Township YS United Boys Blue 2011 ,East Greenwich SA East Greenwich SA Nitro 2011,MONROE TWP - CORKERY LANE,,
09/11/2022,12:00,7808097,,GotSport,Soccer,U-18,Highland Youth Soccer Club Highland Youth Soccer Club Thrashers 2006,PENNS GROVE SC STORM 2006,HIGHLAND - GLOUCESTER TWP PARK,F1,
09/11/2022,12:00,7709830,,GotSport,Soccer,U-13,CHERRY HILL SC STORM 2011,Haddon Twp Soccer Club Haddon Twp Soccer Club Red Hawks 2010,CHSC - CH WEST HS,F1,
09/11/2022,12:00,7710863,,GotSport,Soccer,U-10,Voorhees SA Voorhees SA Raptors 2013,Rancocas Valley SC Rancocas Valley SC Ronaldo 2013,VOORHEES-Echelon Complex,,
09/11/2022,12:00,7810570,,GotSport,Soccer,U-16,Pittsgrove Soccer Club Pittsgrove Soccer Club Juventus 2007,Winslow Township YSA Winslow YSA Enforcers 2007,PITTSGROVE-GREEN BRANCH,F1,
09/11/2022,12:00,7710510,,GotSport,Soccer,U-11,Collingswood Travel Soccer Club Collingswood Travel Soccer Club Knights 2012,Washington TWP Soccer Club Washington TWP Soccer Club Predators 2012,COLLINGSWOOD SC- CAMDEN PREP,COLLINGSWOOD SC- CAMDEN PREP COPEWOOD EL,
09/11/2022,12:00,7808842,,GotSport,Soccer,U-13,Pennsville Soccer Association Pennsville Soccer Association Hawks 2010,Burlington County Soccer Academy Del-Side SC B 2010,PENNSVILLE,F1,
09/11/2022,12:00,7710511,,GotSport,Soccer,U-11,HADDONFIELD SC FIRE 2012,Deptford SA Deptford SA Thunder 2012,HADDONFIELD - CROWS WOODS,S9,
09/11/2022,12:00,7790327,,GotSport,Soccer,U-9,Harrison SC Harrison SC Blue Wave 2014,Mainland United SA Mainland United Stallions B 2014 ,HARRISON - William Wilt Soccer Complex,S7,
09/11/2022,12:00,7809207,,GotSport,Soccer,U-9,CINNAMINSON SC CHARGERS 2014,Pittsgrove Soccer Club Pittsgrove Soccer Club Flyers Black 2014,CINNAMINSON SC - MEMORIAL,S7,
09/11/2022,12:00,7950522,,GotSport,Soccer,U-14,RANCOCAS VALLEY SC REBELS 2009,Swedesboro Woolwich Soccer Assoc. Swedesboro Woolwich Soccer Assoc. Force 2009,Rancocas Vallley-HAINESPORT MUNICIPAL PARK,,
09/11/2022,12:00,7728872,,GotSport,Soccer,U-11,NORTHERN BURLINGTON SA RANGERS 2012,CINNAMINSON SC WARRIORS 2012,NB- MANSFIELD TOWNSHIP ELEMENTARY SCHOOL,S9,
09/11/2022,12:00,7724697,,GotSport,Soccer,U-12,RANCOCAS VALLEY SC RED DEVILS 2011,HARRISON SC THUNDER 2011,Rancocas Vallley-HAINESPORT MUNICIPAL PARK,,
09/11/2022,12:00,7947441,,GotSport,Soccer,U-13,Berlin Soccer Club Berlin Soccer Club Brawlers 2010,Pennsauken Youth Soccer Club Pennsauken Youth Soccer Club Hurricanes 2010,BERLIN SC - FRANKLIN FIELDS,F1,
09/11/2022,12:00,7711134,,GotSport,Soccer,U-12,HADDON HEIGHTS SC SPURS 2011,Haddon Twp Soccer Club Haddon Twp Soccer Club Red Hawks 2011,HADD HGTS - DEVON,FS,
09/11/2022,12:00,7947125,,GotSport,Soccer,U-15,Pennsauken Youth Soccer Club Pennsauken Youth Soccer Club Fury 2008,Vineland SA Vineland Vikings 2008,Pennsauken Community Recreation Facility,F1,
09/11/2022,12:00,7849903,,GotSport,Soccer,U-9,Haddon Twp Soccer Club Haddon Twp Soccer Club Red Hawks 2014,Marlton Soccer Club Marlton SC Chiefs Orange 2014,HADDON TWP - CRYSTAL LAKE,S7,
09/11/2022,12:00,7739772,,GotSport,Soccer,U-11,CHERRY HILL SC BLUE ARMY 2012,HADDONFIELD SC RED 2012,CHSC - UPPER CHAPEL TURF,S9,
09/11/2022,12:00,7807388,,GotSport,Soccer,U-14,HADDONFIELD SC BLACK 2009,Franklin Township Youth Soccer Association Franklin Township Youth Soccer Association Strikers 2009,HADDONFIELD - CROWS WOODS,F1,
09/11/2022,12:00,7809511,,GotSport,Soccer,U-8,Medford SC Medford SC Blue 2015,Highland Youth Soccer Club Highland Youth Soccer Club Futures 2015,MEDFORD - BENDE PARK,,
09/11/2022,12:00,7829785,,GotSport,Soccer,U-13,Logan Soccer Club  Logan Soccer Club Fury 2010,HADDONFIELD SC BLACK 2010,LOGAN - TWP LINE,F1,
09/11/2022,12:00,7809205,,GotSport,Soccer,U-9,East Greenwich SA East Greenwich SA Titans 2014,TBAA OUTLAWS 2014,E GREENWICH - THOMPSON FAMILY PARK,S7,
09/11/2022,12:00,7808876,,GotSport,Soccer,U-10,TBAA UNION 2013,Audubon Soccer Youth Association Audubon Soccer Youth Association Wild Wings 2013,TBAA-VALLEY BROOK,S7,
09/11/2022,12:00,7808056,,GotSport,Soccer,U-15,Atlantic United Soccer Club Atlantic United Premier Kickers 2008,Voorhees SA Voorhees Avatar 2008,ATLANTIC - TARTAGLIO,F1,
09/11/2022,12:00,7728903,,GotSport,Soccer,U-13,MOUNT LAUREL UNITED FORCE 2010,MAINLAND UNITED SA SHARKS 2010,MLU-TROTTERS,F1,
09/11/2022,12:00,7809331,,GotSport,Soccer,U-10,Marlton Soccer Club Marlton SC Chiefs Black 2013,MOUNT LAUREL UNITED TIGERS 2013,MARLTON - MEMORIAL,S7,
09/11/2022,12:00,7748589,,GotSport,Soccer,U-10,CHERRY HILL FC JUNIORS RED 2013,Washington United Soccer Club WUSC 2013,CHFC - DeCOU,,
09/11/2022,12:00,7710835,,GotSport,Soccer,U-10,Pittsgrove Soccer Club Pittsgrove Soccer Club Dragons 2013,Haddon Twp Soccer Club Haddon Twp Soccer Club Red Hawks 2013,PITTSGROVE-GREEN BRANCH,S7,
09/11/2022,12:00,7807113,,GotSport,Soccer,U-16,Washington TWP Soccer Club Washington TWP Soccer Club Spartans 2007,Palmyra Riverton SC Palmyra Riverton SC Flash 2007,WASHINGTON TWP-WASH LAKE PARK,F3,
09/11/2022,12:00,7830046,,GotSport,Soccer,U-14,PENNS GROVE SC HEAT 2009,HADDONFIELD SC RED 2009,PG-CP-PED- Carney's Point Rec Center,F1,
