Date,Time,Game ID,Custom Game ID,Partner,Sport,Level,Home Team,Away Team,Site,Subsite,BillTo
09/07/2025,11:00,22002475,,GotSport,Soccer,U-19,EAST GREENWICH SA EGSA THUNDER 2009,HIGHLAND YOUTH SOCCER CLUB GALAXY 2008,E GREENWICH - THOMPSON FAMILY PARK,,
09/07/2025,11:00,21318415,,GotSport,Soccer,U-15,DELRAN FC SOCCER DELRAN FC BLAST 2011,MEDFORD SC MEDFORD SC RENEGADES 2011,,,
09/07/2025,11:00,21318454,,GotSport,Soccer,U-14,PENNSVILLE SOCCER ASSOCIATION PENNSVILLE EAGLES 2012,SWEDESBORO WOOLWICH SOCCER ASSOC. SWSA SHARKS 2012,PENNSVILLE,,
09/07/2025,11:00,21353097,,GotSport,Soccer,U-11,MAINLAND UNITED SA MAINLAND UNITED SA MUSTANGS BLACK 2015 B,WINSLOW TOWNSHIP YSA WINSLOW TITANS 2015,MAINLAND - MEMORIAL PARK,,
09/07/2025,11:00,21375421,,GotSport,Soccer,U-11,HARRISON SC HARRISON BLUE REBELS 2015,GATEWAY UNITED SOCCER CLUB GUSC THUNDER B2016,HARRISON - William Wilt Soccer Complex,,
09/07/2025,11:00,21333248,,GotSport,Soccer,U-13,HIGHLAND YOUTH SOCCER CLUB FURY 2013,MEDFORD SC MEDFORD SC BLUE DEVILS 2013,HIGHLAND - GLOUCESTER TWP PARK,,
09/07/2025,11:00,21354879,,GotSport,Soccer,U-13,MONROE TOWNSHIP YS MONROE UNITED 2013,MARLTON SOCCER CLUB MARLTON SC CHIEFS ORANGE 2014,MONROE TWP - CORKERY LANE,,
09/07/2025,11:00,21354878,,GotSport,Soccer,U-13,VOORHEES SA PREDATORS 2013,CINNAMINSON SC CINNAMINSON SC THUNDERBIRDS 2013,VOORHEES-EASTERN HS,,
09/07/2025,11:00,21318297,,GotSport,Soccer,U-15,WOODBURY SOCCER CLUB WOODBURY ARMORY 2011,PALMYRA RIVERTON SC WARRIORS 2011,WOODBURY,,
09/07/2025,11:00,21392090,,GotSport,Soccer,U-11,MARLTON SOCCER CLUB MARLTON SC CHIEFS WHITE 2015,AUDUBON SOCCER YOUTH ASSOCIATION AUDUBON BOYS LIGHTNING 2015,MARLTON - MEMORIAL,,
09/07/2025,11:00,21324743,,GotSport,Soccer,U-14,WTSC WTSC WASHINGTON PREMIER 2012 BOYS,MOUNT LAUREL UNITED (MLU) HAWKS 2012,,,
09/07/2025,11:00,21318300,,GotSport,Soccer,U-15,HAMMONTON YSA HAMMONTON HEAT BOYS 2011,VOORHEES SA FORCE 2012,HAMMONTON - MOSS MILL RD PARK SOCCER COMPLEX,,
09/07/2025,11:00,21318413,,GotSport,Soccer,U-15,MANTUA TOWNSHIP SA 2011B MANTUA UNION,BURLINGTON TOWNSHIP SOCCER REBELS 2011,MANTUA TWP,,
09/07/2025,11:00,22116990,,GotSport,Soccer,U-8,WTSC WTSC WASHINGTON SELECT 2018 BOYS,DEPTFORD SA DEPTFORD SPARTANS 2018 BOYS,,,
09/07/2025,11:00,21444935,,GotSport,Soccer,U-11,SENECA UNITED SC PARK RANGERS 2015,MEDFORD SC MEDFORD SC GOLD 2015,SENECA - STONEY CREEK FIELDS,,
09/07/2025,11:00,21445026,,GotSport,Soccer,U-9,WTSC WTSC WASHINGTON SELECT 2017B,AUDUBON SOCCER YOUTH ASSOCIATION AUDUBON BOYS 2017 TEAM 2,,,
09/07/2025,11:00,21346713,,GotSport,Soccer,U-11,DEPTFORD SA CYCLONES 2015,SJ FUTBOL CLUB SJ FUTBOL CLUB RAMS 2015,DEPTFORD SC,,
