Date,Time,Game ID,Custom Game ID,Partner,Sport,Level,Home Team,Away Team,Site,Subsite,BillTo
3/5/23,11:00,9692141,,GotSport,Soccer,U-13,NORTHERN BURLINGTON SA  BLAST 2010,HAMMONTON YSA HAMMONTON HEAT 2010,NB- MANSFIELD TOWNSHIP ELEMENTARY SCHOOL,F1,
3/5/23,11:00,9691489,,GotSport,Soccer,U-8,MARLTON SOCCER CLUB MARLTON SC CHIEFS ORANGE 2015,DEPTFORD SA DEPTFORD PREMIER FC 2015 FUSION,MARLTON - MEMORIAL,,
3/5/23,11:00,9692483,,GotSport,Soccer,U-19,WINSLOW TOWNSHIP YSA WINSLOW GOBLINS 2004,BORDENTOWN FC  2005,WINSLOW TWP - PETER VOLPA,F1,
3/5/23,11:00,9821211,,GotSport,Soccer,U-19,HIGHLAND YOUTH SOCCER CLUB THRASHERS 2006,CHERRY HILL FC 2006 RAPTORS,HIGHLAND - GLOUCESTER TWP PARK,,
3/5/23,11:00,9691168,,GotSport,Soccer,U-12,HARRISON SC HARRISON TIGERS 2011,WASHINGTON TWP SOCCER CLUB LIGHTNING 2011,HARRISON - William Wilt Soccer Complex,S9,
3/5/23,11:00,9692496,,GotSport,Soccer,U-19,MEDFORD SC  ARSENAL 2005,TBAA  COSMOS 2005,MEDFORD - BENDE PARK,F1,
3/5/23,12:00,9691860,,GotSport,Soccer,U-15,BURLINGTON TOWNSHIP SOCCER BULLS 2008,MOUNT LAUREL UNITED (MLU) OUNT LAUREL UNITED (MLU) PANTHERS 2008,BURLINGTON TWP - PINEWALD AVE,F1,
3/5/23,12:00,9691301,,GotSport,Soccer,U-11,AUDUBON SOCCER YOUTH ASSOCIATION AUDUBON 2012 BOYS,DEPTFORD SA DEPTFORD THUNDER 2012,AUDUBON - GREEN WAVE PARK,S1,
3/5/23,12:00,9710292,,GotSport,Soccer,U-9,CHERRY HILL FC 2014 JUNIOR BLACK,MOUNT LAUREL UNITED (MLU) OUNT LAUREL UNITED (MLU) COBRAS 2014,CHFC - DeCOU,,
3/5/23,12:00,9690832,,GotSport,Soccer,U-9,SENECA UNITED SC 2014 THUNDER,HADDONFIELD SC QUAKES 2014,SENECA - STONEY CREEK FIELDS,S7,
3/5/23,12:00,9692102,,GotSport,Soccer,U-11,MOUNT LAUREL UNITED (MLU) OUNT LAUREL UNITED (MLU) IMPACT 2012,GATEWAY UNITED SOCCER CLUB STINGRAYS 2012,MLU-TROTTERS,,
3/5/23,12:00,9690866,,GotSport,Soccer,U-14,SWEDESBORO WOOLWICH SOCCER ASSOC. SWSA FORCE 2009,DEPTFORD SA DEPTFORD REBELS 2009,SW-Locke Avenue Park,F1,
3/5/23,12:00,9691992,,GotSport,Soccer,U-15,MONROE TOWNSHIP YS UNITED BLUE 2008,WASHINGTON TWP SOCCER CLUB MINUTEMEN 2008,MONROE TWP - CORKERY LANE,,
3/5/23,12:00,9711721,,GotSport,Soccer,U-9,MANTUA TOWNSHIP SA  OUTLAWS 2014,COLLINGSWOOD TRAVEL SOCCER CLUB OUTLAWS 2014,MANTUA TWP,,
3/5/23,12:00,9712241,,GotSport,Soccer,U-9,BORDENTOWN FC  UNION 2014,PALMYRA RIVERTON SC TORNADOES 2014,BORDENTOWN - FRIENDSHIP FIELDS,S7,
3/5/23,12:00,9690771,,GotSport,Soccer,U-9,HADDON TWP SOCCER CLUB HADDON TWP RED HAWKS 2014,PITTSGROVE SOCCER CLUB PSC FLYERS BLACK 2014,BARRINGTON - DERRE,S1,
3/5/23,12:00,9690899,,GotSport,Soccer,U-14,VOORHEES SA AMBUSH 2009,PENNS GROVE SC  HEAT 2009,VOORHEES-EASTERN HS,,
3/5/23,12:00,9690521,,GotSport,Soccer,U-12,EAST GREENWICH SA EGSA FURY 2011,WEST DEPTFORD SC WOLFPACK 2011,E GREENWICH - THOMPSON FAMILY PARK,F1,
3/5/23,12:00,9690388,,GotSport,Soccer,U-11,SWEDESBORO WOOLWICH SOCCER ASSOC. SWSA SHARKS 2012,HARRISON SC  STRIKERS 2012,SW-High Hill West Park,,
