TeamID,TeamName,SportName,LevelName,Strength,TravelLimit,Site,SubSite,BillTo,HighSchool
2865,ATLANTIC UNITED SC PREMIER 2010 ,Soccer,U-13,5,999,ATLANTIC - TARTAGLIO,F1,Not Set,Not Set
2756,ATLANTIC UNITED SC PREMIER KICKERS 2008,Soccer,U-15,5,999,ATLANTIC - TARTAGLIO,F1,Not Set,Not Set
3004,ATLANTIC UNITED SC PREMIER KICKERS B 2011 ,Soccer,U-12,5,999,ATLANTIC - TARTAGLIO,S9,Not Set,Not Set
2878,ATLANTIC UNITED SC PREMIER KICKERS B BLUE 2013,Soccer,U-10,5,999,ATLANTIC - TARTAGLIO,S7,Not Set,Not Set
2914,ATLANTIC UNITED SC PREMIER KICKERS B WHITE 2013 ,Soccer,U-10,5,999,Not Set,Not Set,Not Set,Not Set
2382,ATLANTIC UNITED SOCCER CLUB ATLANTIC UNITED PREMIE,Soccer,U-10,5,999,Not Set,Not Set,Not Set,Not Listed
2514,ATLANTIC UNITED SOCCER CLUB ATLANTIC UNITED PREMIE,Soccer,U-12,5,999,Not Set,Not Set,Not Set,Not Listed
1833,ATLANTIC UNITED SOCCER CLUB ATLANTIC UNITED PREMIE,Soccer,U-13,5,999,Not Set,Not Set,Not Set,Not Listed
3337,ATLANTIC UNITED SOCCER CLUB ATLANTIC UNITED PREMIE,Soccer,U-16,5,999,Not Set,Not Set,Not Set,Not Listed
1981,ATLANTIC UNITED SOCCER CLUB ATLANTIC UNITED PREMIE,Soccer,U-9,5,999,Not Set,Not Set,Not Set,Not Listed
2925,AUDUBON SOCCER YOUTH ASSOCIATION ASTROS 2011,Soccer,U-12,5,999,Not Set,Not Set,Not Set,Not Set
3193,AUDUBON SOCCER YOUTH ASSOCIATION AUDUBON 2012 BOYS,Soccer,U-11,5,999,AUDUBON - GREEN WAVE PARK,S7,Not Set,Not Set
3195,AUDUBON SOCCER YOUTH ASSOCIATION AUDUBON ATTACK - ,Soccer,U-9,5,999,AUDUBON PARK FIELD,S1,Not Set,Not Listed
2248,AUDUBON SOCCER YOUTH ASSOCIATION AUDUBON SOCCER YO,Soccer,U-10,5,999,AUDUBON PARK FIELD,S1,Not Set,Not Listed
2702,AUDUBON SOCCER YOUTH ASSOCIATION AUDUBON SOCCER YO,Soccer,U-13,5,999,BARRINGTON - WOODLAND SCHOOL,F1,Not Set,Not Listed
2464,AUDUBON SOCCER YOUTH ASSOCIATION AUDUBON SOCCER YO,Soccer,U-8,5,999,Not Set,Not Set,Not Set,Not Listed
2814,AUDUBON SOCCER YOUTH ASSOCIATION AVENGERS 2013,Soccer,U-10,5,999,AUDUBON - GREEN WAVE PARK,S7,Not Set,Not Set
2818,AUDUBON SOCCER YOUTH ASSOCIATION BALLERS 2012,Soccer,U-11,5,999,AUDUBON - GREEN WAVE PARK,S7,Not Set,Not Set
3067,AUDUBON SOCCER YOUTH ASSOCIATION BOYS 2014,Soccer,U-9,5,999,AUDUBON - GREEN WAVE PARK,S7,Not Set,Not Set
2954,AUDUBON SOCCER YOUTH ASSOCIATION BOYS 2015,Soccer,U-8,5,999,AUDUBON - GREEN WAVE PARK,S7,Not Set,Not Set
2717,AUDUBON SOCCER YOUTH ASSOCIATION UNITED 2010,Soccer,U-13,5,999,AUDUBON - GREEN WAVE PARK,F1,Not Set,Not Set
2755,AUDUBON SOCCER YOUTH ASSOCIATION WILD WINGS 2013,Soccer,U-10,5,999,Not Set,Not Set,Not Set,Not Set
3430,BARRINGTON SC  REVOLUTION 2013,Soccer,U-10,5,999,Not Set,Not Set,Not Set,Not Set
2781,BARRINGTON SC RED BULLS 2011,Soccer,U-12,5,999,BARRINGTON - DERRE,S1,Not Set,Not Set
2910,BARRINGTON SC REVOLUTION 2013,Soccer,U-10,5,999,BARRINGTON - DERRE,S1,Not Set,Not Set
3108,BERLIN BLITZ EDP/G,Soccer,U-15,5,999,BERLIN SC - FRANKLIN FIELDS,F1,Not Set,Not Set
2848,BERLIN SOCCER CLUB BALL BREAKERS 2012,Soccer,U-11,5,999,BERLIN SC - FRANKLIN FIELDS,S9,Not Set,Not Set
2704,BERLIN SOCCER CLUB BERSERKERS 2015,Soccer,U-8,5,999,BERLIN SC - FRANKLIN FIELDS,S7,Not Set,Not Set
2743,BERLIN SOCCER CLUB BRAWLERS 2010,Soccer,U-13,5,999,BERLIN SC - FRANKLIN FIELDS,F1,Not Set,Not Set
2963,BERLIN SOCCER CLUB BULLDOGS 2013,Soccer,U-10,5,999,BERLIN SC - FRANKLIN FIELDS,S7,Not Set,Not Set
3213,BORDENTOWN FC  2005,Soccer,U-19,5,999,Not Set,Not Set,Not Set,Not Set
3372,BORDENTOWN FC  JAGUARS 2011,Soccer,U-12,5,999,BORDENTOWN - FRIENDSHIP FIELDS,S9,Not Set,Not Set
3413,BORDENTOWN FC  JAGUARS 2012,Soccer,U-11,5,999,BORDENTOWN - FRIENDSHIP FIELDS,S9,Not Set,Not Set
3449,BORDENTOWN FC  PANTHERS 2010,Soccer,U-13,5,999,BORDENTOWN - FRIENDSHIP FIELDS,F1,Not Set,Not Set
3344,BORDENTOWN FC  RAPTORS 2007,Soccer,U-16,5,999,Not Set,Not Set,Not Set,Not Set
3312,BORDENTOWN FC  RENEGADES 2011,Soccer,U-12,5,999,BORDENTOWN - FRIENDSHIP FIELDS,S9,Not Set,Not Set
3259,BORDENTOWN FC  UNION 2014,Soccer,U-9,5,999,BORDENTOWN - FRIENDSHIP FIELDS,S7,Not Set,Not Set
2374,BORDENTOWN FC JAGUARS 2011,Soccer,U-12,5,999,BORDENTOWN - FRIENDSHIP FIELDS,S9,Not Set,Not Listed
3031,BORDENTOWN FC JAGUARS 2012,Soccer,U-11,5,999,BORDENTOWN - FRIENDSHIP FIELDS,S9,Not Set,Not Set
2205,BORDENTOWN FC PANTHERS 2010,Soccer,U-13,5,999,BORDENTOWN - FRIENDSHIP FIELDS,F1,Not Set,Not Listed
2482,BORDENTOWN FC RAPTORS 2007,Soccer,U-16,5,999,BORDENTOWN - FRIENDSHIP FIELDS,F1,Not Set,Not Listed
2278,BORDENTOWN FC RENEGADES 2011,Soccer,U-12,5,999,BORDENTOWN - FRIENDSHIP FIELDS,S9,Not Set,Not Listed
2783,BORDENTOWN FC UNION 2014,Soccer,U-9,5,999,BORDENTOWN - FRIENDSHIP FIELDS,S7,Not Set,Not Set
2415,BORDENTOWN FC VENOM 2013,Soccer,U-10,5,999,BORDENTOWN - FRIENDSHIP FIELDS,S7,Not Set,Not Listed
3125,BRICK HURRICANES EDP/G,Soccer,U-15,5,999,Not Set,Not Set,Not Set,Not Set
3149,Burlco Cty Soccer Academy EDP/B,Soccer,U-15,5,999,Not Set,Not Set,Not Set,Not Set
3243,BURLINGTON COUNTY SOCCER ACADEMY DEL-SIDE SC 2010B,Soccer,U-13,5,999,BURLINGTON COUNTY SA - Delanco Field of Dreams,BURLINGTON COUNTY SA - Delanco Field of Dreams,Not Set,Not Set
