Date,Time,Game ID,Custom Game ID,Partner,Sport,Level,Home Team,Away Team,Site,Subsite,BillTo
3/3/24,13:15,14353446,,GotSport,Soccer,U-9,HADDONFIELD SC WHITE 2015 B,ATLANTIC UNITED PREMIER FIRE 2015 B,HADDONFIELD - CROWS WOODS,,
3/24/24,14:30,14353453,,GotSport,Soccer,U-9,LOGAN ARMADA 2015,ATLANTIC UNITED PREMIER FIRE 2015 B,LOGAN - TWP LINE,,
3/10/24,14:30,14353457,,GotSport,Soccer,U-9,MOORESTOWN SC HORNETS 2015,ATLANTIC UNITED PREMIER FIRE 2015 B,MOORESTOWN - MEMORIAL FIELDS,,
3/24/24,15:30,14353045,,GotSport,Soccer,U-10,CINNAMINSON SC CHARGERS 2014,ATLANTIC UNITED PREMIER KICKERS 2014 B,CINNAMINSON SC - MEMORIAL,,
3/3/24,14:00,14353055,,GotSport,Soccer,U-10,DELRAN FC SOCCER DELRAN FC KNIGHTS,ATLANTIC UNITED PREMIER KICKERS 2014 B,DELRAN-DEUTSCH FIELD,,
3/17/24,14:30,14353028,,GotSport,Soccer,U-10,TAR-KILL SOCCER CLUB TARKILL CHELSEA 2014,ATLANTIC UNITED PREMIER KICKERS 2014 B,TARKILL-STERLING HS,,
3/10/24,15:45,14353032,,GotSport,Soccer,U-10,VOORHEES SA KNIGHTS 2014,ATLANTIC UNITED PREMIER KICKERS 2014 B,VOORHEES-Echelon Complex,,
3/3/24,12:00,14355184,,GotSport,Soccer,U-14,DEPTFORD BRUTE FORCE 2010,ATLANTIC UNITED PREMIER STRIKERS 2010/11 B,DEPTFORD SC,,
3/17/24,11:00,14354532,,GotSport,Soccer,U-14,FRANKLIN TOWNSHIP YOUTH SOCCER ASSOCIATION STORM 2010,ATLANTIC UNITED PREMIER STRIKERS 2010/11 B,FRANKLIN TWP YOUTH COMPLEX,,
3/24/24,12:00,14354533,,GotSport,Soccer,U-14,UPPER TOWNSHIP SA RIPTIDE 2010,ATLANTIC UNITED PREMIER STRIKERS 2010/11 B,UPPER TWP-Amanda's Field Complex,,
3/10/24,12:00,14354523,,GotSport,Soccer,U-14,WINSLOW SLAYERS 2010,ATLANTIC UNITED PREMIER STRIKERS 2010/11 B,WINSLOW TWP - PETER VOLPA,,
3/17/24,13:00,14355125,,GotSport,Soccer,U-10,EAST GREENWICH SA EGSA STARS 2014,AUDUBON ATTACK - BOYS 2014,E GREENWICH - THOMPSON FAMILY PARK,,
