TeamID,TeamName,SportName,LevelName,Strength,TravelLimit,Site,SubSite,BillTo,HighSchool
"4255","1776 UNITED EDP","Soccer","U-14","5","999","Not Set","Not Set","Not Set","Not Set",
"4241","ATLANTIC UNITED EDP/B","Soccer","U-13","5","999","Not Set","Not Set","Not Set","Not Set",
"2382","ATLANTIC UNITED SOCCER CLUB ATLANTIC UNITED PREMIE","Soccer","U-10","5","999","Not Set","Not Set","Not Set","Not Listed",
"3785","ATLANTIC UNITED SOCCER CLUB ATLANTIC UNITED PREMIE","Soccer","U-14","5","999","Not Set","Not Set","Not Set","Not Listed",
"1981","ATLANTIC UNITED SOCCER CLUB ATLANTIC UNITED PREMIE","Soccer","U-9","5","999","Not Set","Not Set","Not Set","Not Listed",
"3751","AUDUBON SOCCER YOUTH ASSOCIATION AUDUBON ATTACK - ","Soccer","U-10","5","999","Not Set","Not Set","Not Set","Not Listed",
"2327","AUDUBON SOCCER YOUTH ASSOCIATION AUDUBON SOCCER YO","Soccer","U-11","5","999","Not Set","Not Set","Not Set","Not Listed",
"2610","AUDUBON SOCCER YOUTH ASSOCIATION AUDUBON SOCCER YO","Soccer","U-12","5","999","Not Set","Not Set","Not Set","Not Listed",
"2702","AUDUBON SOCCER YOUTH ASSOCIATION AUDUBON SOCCER YO","Soccer","U-13","5","999","AUDUBON - GREEN WAVE PARK","F1","Not Set","Not Listed",
"3690","AUDUBON SOCCER YOUTH ASSOCIATION AUDUBON SOCCER YO","Soccer","U-14","5","999","AUDUBON - GREEN WAVE PARK","F1","Not Set","Not Listed",
"2572","AUDUBON SOCCER YOUTH ASSOCIATION AUDUBON SOCCER YO","Soccer","U-9","5","999","Not Set","Not Set","Not Set","Not Listed",
"3805","AUDUBON SOCCER YOUTH ASSOCIATION AUDUBON U9 BOYS 2","Soccer","U-9","5","999","Not Set","Not Set","Not Set","Not Listed",
"4166","BARRINGTON SC  REVOLUTION 2013","Soccer","U-11","5","999","MERCHANTVILLE - WILLOW AVE","S1","Not Set","Not Set",
"4305","BATTLE OF MONMOUTH EDP/B","Soccer","U-15","5","999","Not Set","Not Set","Not Set","Not Set",
"4331","BCSA EDP/B","Soccer","U-16","5","999","Not Set","Not Set","Not Set","Not Set",
"4338","BERLIN BLITZ EDP/G","Soccer","U-16","5","999","BERLIN SC - FRANKLIN FIELDS","F1","Not Set","Not Set",
"4135","BERLIN SOCCER CLUB BALL BREAKERS 2012","Soccer","U-12","5","999","Not Set","Not Set","Not Set","Not Set",
"3667","BERLIN SOCCER CLUB BERSERKERS 2015","Soccer","U-9","5","999","BERLIN SC - FRANKLIN FIELDS","S7","Not Set","Not Set",
"4094","BERLIN SOCCER CLUB BOYS TBD 2016","Soccer","U-8","5","999","Not Set","Not Set","Not Set","Not Set",
"3680","BERLIN SOCCER CLUB BRAWLERS 2010","Soccer","U-14","5","999","Not Set","Not Set","Not Set","Not Set",
"3910","BERLIN SOCCER CLUB BULLDOGS 2013","Soccer","U-11","5","999","Not Set","Not Set","Not Set","Not Set",
"4197","BLOOMFIELD EDP/B","Soccer","U-14","5","999","Not Set","Not Set","Not Set","Not Set",
"4310","BORDENTOWN EDP/B","Soccer","U-14","5","999","Not Set","Not Set","Not Set","Not Set",
"4231","BORDENTOWN EDP/G","Soccer","U-14","5","999","Not Set","Not Set","Not Set","Not Set",
"3917","BORDENTOWN FC  JAGUARS 2011","Soccer","U-13","5","999","Not Set","Not Set","Not Set","Not Set",
"3819","BORDENTOWN FC  JAGUARS 2012","Soccer","U-12","5","999","Not Set","Not Set","Not Set","Not Set",
"4052","BORDENTOWN FC  PANTHERS 2010","Soccer","U-14","5","999","BORDENTOWN - FRIENDSHIP FIELDS","F1","Not Set","Not Set",
"3848","BORDENTOWN FC  RENEGADES 2011","Soccer","U-13","5","999","Not Set","Not Set","Not Set","Not Set",
"3787","BORDENTOWN FC  REVOLUTION 2016","Soccer","U-8","5","999","BORDENTOWN - FRIENDSHIP FIELDS","S7","Not Set","Not Set",
"3948","BORDENTOWN FC  UNION 2014","Soccer","U-10","5","999","BORDENTOWN - FRIENDSHIP FIELDS","S7","Not Set","Not Set",
"3758","BURLINGTON COUNTY SOCCER ACADEMY DEL-SIDE SC 2010B","Soccer","U-14","5","999","Not Set","Not Set","Not Set","Not Set",
"3887","BURLINGTON COUNTY SOCCER ACADEMY DEL-SIDE SC 2011B","Soccer","U-13","5","999","Not Set","Not Set","Not Set","Not Set",
"3733","BURLINGTON COUNTY SOCCER ACADEMY DEL-SIDE SC 2013B","Soccer","U-11","5","999","BURLINGTON COUNTY SA - Delanco Field of Dreams","F1","Not Set","Not Set",
"3897","BURLINGTON COUNTY SOCCER ACADEMY DEL-SIDE SC 2014B","Soccer","U-10","5","999","BURLINGTON COUNTY SA - Delanco Field of Dreams","F1","Not Set","Not Set",
"3902","BURLINGTON COUNTY SOCCER ACADEMY DEL-SIDE SC 2015B","Soccer","U-9","5","999","BURLINGTON COUNTY SA - Delanco Field of Dreams","F1","Not Set","Not Set",
"3754","BURLINGTON TOWNSHIP SOCCER CELTIC 2010","Soccer","U-14","5","999","Not Set","Not Set","Not Set","Not Set",
"3928","BURLINGTON TOWNSHIP SOCCER DRAGONS 2012","Soccer","U-12","5","999","Not Set","Not Set","Not Set","Not Set",
"4012","BURLINGTON TOWNSHIP SOCCER DYNAMITE 2014","Soccer","U-10","5","999","BURLINGTON TWP - PINEWALD AVE","S7","Not Set","Not Set",
"4035","BURLINGTON TOWNSHIP SOCCER FUSION 2009","Soccer","U-15","5","999","Not Set","Not Set","Not Set","Not Set",
"3860","BURLINGTON TOWNSHIP SOCCER KNIGHTHAWKS 2012","Soccer","U-12","5","999","Not Set","Not Set","Not Set","Not Set",
"3672","BURLINGTON TOWNSHIP SOCCER PHOENIX 2015","Soccer","U-9","5","999","Not Set","Not Set","Not Set","Not Set",
"4049","BURLINGTON TOWNSHIP SOCCER REBELS 2011","Soccer","U-13","5","999","Not Set","Not Set","Not Set","Not Set",
"3811","BURLINGTON TOWNSHIP SOCCER STRIKERS 2013","Soccer","U-11","5","999","BURLINGTON TWP - PINEWALD AVE","S9","Not Set","Not Set",
"3958","BURLINGTON TOWNSHIP SOCCER THUNDER2015","Soccer","U-9","5","999","BURLINGTON TWP - PINEWALD AVE","S7","Not Set","Not Set",
"4120","CAPE EXPRESS  - CE NOR'EASTERS 2016","Soccer","U-8","5","999","CAPE EX SOCCER COMPLEX At Ockie Wisting","S7","Not Set","Not Set",
"3855","CAPE EXPRESS AVENGERS 2013","Soccer","U-11","5","999","CAPE EX SOCCER COMPLEX At Ockie Wisting","S9","Not Set","Not Set",
"3715","CAPE EXPRESS CE BLUE CRUSH 2010","Soccer","U-14","5","999","CAPE EX SOCCER COMPLEX At Ockie Wisting","F1","Not Set","Not Set",
"4102","CAPE EXPRESS CE ENGINEERS 2014","Soccer","U-10","5","999","Not Set","Not Set","Not Set","Not Set",
"4000","CAPE EXPRESS CE SILVER STREAK 2015","Soccer","U-9","5","999","Not Set","Not Set","Not Set","Not Set",
"4003","CAPE EXPRESS CE UNION 2014","Soccer","U-10","5","999","CAPE EX SOCCER COMPLEX At Ockie Wisting","S7","Not Set","Not Set",
"3878","CAPE EXPRESS SURGE 2011","Soccer","U-13","5","999","Not Set","Not Set","Not Set","Not Set",
"4145","CAPE EXPRESS WHITE CAPS 2012","Soccer","U-12","5","999","CAPE EX SOCCER COMPLEX At Ockie Wisting","S9","Not Set","Not Set",
"3875","CHERRY HILL FC  AVENGERS 2011","Soccer","U-13","5","999","CHFC - DeCOU","F1","Not Set","Not Set",
"3765","CHERRY HILL FC  DRAGONS 2009","Soccer","U-15","5","999","Not Set","Not Set","Not Set","Not Set",
"3919","CHERRY HILL FC 2011 JUNIORS BLACK","Soccer","U-13","5","999","Not Set","Not Set","Not Set","Not Set",
"3807","CHERRY HILL FC 2011/2012 JUNIOR WHITE","Soccer","U-13","5","999","CHFC - DeCOU","F1","Not Set","Not Set",
"3770","CHERRY HILL FC 2012 JUNIORS BLACK","Soccer","U-12","5","999","CHFC - DeCOU","S9- Grass 9v9/D5","Not Set","Not Set",
"3745","CHERRY HILL FC 2013 DEVILS","Soccer","U-11","5","999","CHFC - DeCOU","S9- Grass 9v9/D5","Not Set","Not Set",
"3762","CHERRY HILL FC 2013 JUNIOR BLACK - RED HAWKS","Soccer","U-11","5","999","CHFC - DeCOU","S9- Grass 9v9/D5","Not Set","Not Set",
"4019","CHERRY HILL FC 2014 BLACK STRIKERS","Soccer","U-10","5","999","CHFC - DeCOU","S7 - Grass 7v7/D6","Not Set","Not Set",
