GameID,Date,Time,Status,SiteName,SubSiteName,BillToName,SportName,LevelName,HomeTeams,AwayTeams,Officials
"18755560","3/2/2025","12:15 PM","Normal","AUDUBON - GREEN WAVE PARK","S7","","Soccer","U-10","AUDUBON SOCCER YOUTH BOYS 2015 - HAMMERS","MLU KNIGHTS 2015 BOYS",
"18771389","3/2/2025","1:30 PM","Normal","AUDUBON - GREEN WAVE PARK","S7","","Soccer","U-10","AUDUBON BOYS 2015","CHERRY HILL FC 2015 JUNIOR WHITE",
"18793449","3/2/2025","2:45 PM","Normal","AUDUBON - GREEN WAVE PARK","S7","","Soccer","U-9","AUDUBON 2016 BOYS","NORTHERN BURLINGTON BOOM 2016",
"18735652","3/2/2025","4:00 PM","Normal","AUDUBON - GREEN WAVE PARK","S7","","Soccer","U-8","AUDUBON CROSSFIRE","SWSA PANTHERS 2017",
"18755530","3/2/2025","11:00 AM","Normal","AUDUBON - GREEN WAVE PARK","S9","","Soccer","U-11","AUDUBON ATTACK - BOYS 2014","MEDFORD SC CAROLINA 2014",
"18696045","3/2/2025","3:30 PM","Normal","BARRINGTON-DEERE FIELD","S7","","Soccer","U-9","BARRINGTON SC STORM 2016","PENNS GROVE SC DRAGONS 2016",
"18700809","3/2/2025","2:00 PM","Normal","BARRINGTON-DEERE FIELD","S9","","Soccer","U-12","BARRINGTON SC REVOLUTION 2013","PALMYRA RIVERTON SC HURRICANES 2013",
"18820553","3/2/2025","12:30 PM","Normal","BERLIN SC - FRANKLIN FIELDS","F1","","Soccer","U-13","BERLIN SOCCER CLUB BALL BREAKERS 2012","MILLVILLE LYNX 2012",
"18793388","3/2/2025","3:30 PM","Normal","BERLIN SC - FRANKLIN FIELDS","S7","","Soccer","U-10","BERLIN SOCCER CLUB BERSERKERS 2015","MILLVILLE PREDATORS 2015",
"18999209","3/2/2025","2:00 PM","Normal","BERLIN SC - FRANKLIN FIELDS","S9","","Soccer","U-12","BERLIN SOCCER CLUB BULLDOGS 2013","MAINLAND UNITED SA MUSTANGS WHITE 2013-14 B",
"18683024","3/2/2025","12:00 PM","Normal","BORDENTOWN - FRIENDSHIP FIELDS","F1","","Soccer","U-19","BORDENTOWN FC 2006","BURLINGTON TOWNSHIP SOCCER BULLS 2007-2008",
"18750899","3/2/2025","1:45 PM","Normal","BORDENTOWN - FRIENDSHIP FIELDS","F1","","Soccer","U-14","BORDENTOWN FC RENEGADES 2011","HADDONFIELD SC RED 2011",
"18783450","3/2/2025","2:00 PM","Normal","BORDENTOWN - FRIENDSHIP FIELDS","S7","","Soccer","U-8","BORDENTOWN FC REVOLUTION 2017","MEDFORD SC 2017B WHITE (LIGHTNING)",
"18783301","3/2/2025","3:30 PM","Normal","BORDENTOWN - FRIENDSHIP FIELDS","S7","","Soccer","U-9","BORDENTOWN FC REVOLUTION 2016","MEDFORD SC WHITE 2016",
"18747978","3/2/2025","3:30 PM","Normal","BORDENTOWN - FRIENDSHIP FIELDS","S9","","Soccer","U-11","BORDENTOWN FC UNION 2014","TBAA REVOLUTION 2014",
"18815492","3/2/2025","12:30 PM","Normal","BURLINGTON TWP - PINEWALD AVE","F1","","Soccer","U-14","BURLINGTON TOWNSHIP SOCCER REBELS 2011","WEST DEPTFORD SC WOLFPACK 2011",
"18815522","3/2/2025","2:00 PM","Normal","BURLINGTON TWP - PINEWALD AVE","F1","","Soccer","U-13","BURLINGTON TOWNSHIP SOCCER DRAGONS 2012","ATLANTIC UNITED PREMIER KICKERS 2013 B",
"18770610","3/2/2025","3:30 PM","Normal","BURLINGTON TWP - PINEWALD AVE","S7","","Soccer","U-10","BURLINGTON TOWNSHIP SOCCER PHOENIX 2015","PENNSVILLE EAGLES GOLD 2015",
"18814263","3/2/2025","2:00 PM","Normal","CAPE EX SOCCER COMPLEX At Ockie Wisting","F1","","Soccer","U-13","CAPE EXPRESS WHITE CAPS 2012","CHERRY HILL FC 2012 JUNIORS BLACK",
"18783285","3/2/2025","12:30 PM","Normal","CAPE EX SOCCER COMPLEX At Ockie Wisting","S7","","Soccer","U-9","CAPE EXPRESS CE NOR'EASTERS 2016","GATEWAY UNITED SOCCER CLUB GUSC THUNDER B2016",
"18771989","3/2/2025","2:00 PM","Normal","CAPE EX SOCCER COMPLEX At Ockie Wisting","S7","","Soccer","U-10","CAPE EXPRESS CE SILVER STREAK 2015","EGG HARBOR SC EAGLES 2015 WHITE",
"18701085","3/2/2025","12:30 PM","Normal","CAPE EX SOCCER COMPLEX At Ockie Wisting","S9","","Soccer","U-11","CAPE EXPRESS CE ENGINEERS 2014","PITTSGROVE SOCCER CLUB PSC PHANTOMS '14",
"18761425","3/2/2025","3:30 PM","Normal","CAPE EX SOCCER COMPLEX At Ockie Wisting","S9","","Soccer","U-12","CAPE EXPRESS AVENGERS 2013","EGG HARBOR SC EAGLES WHITE 2013",
"18750884","3/2/2025","11:00 AM","Normal","CHFC - DeCOU","F1","","Soccer","U-14","CHERRY HILL FC 2011 STALLIONS","MEDFORD STRIKERS 2011 BOYS",
"18758191","3/2/2025","12:30 PM","Normal","CHFC - DeCOU","F1","","Soccer","U-14","CHERRY HILL FC 2011 AVENGERS","UPPER TOWNSHIP SA TSUNAMIS 2011",
"18695864","3/2/2025","2:00 PM","Normal","CHFC - DeCOU","F1","","Soccer","U-14","CHERRY HILL FC 2011/2012 COBRAS","PENNS GROVE SC RAGE 2011",
"18695992","3/2/2025","3:45 PM","Normal","CHFC - DeCOU","S9- Grass 9v9/D5","","Soccer","U-12","CHERRY HILL FC 2013 RED HAWKS","PENNS GROVE WILD 2013",
"18685829","3/2/2025","12:30 PM","Normal","CHSC - CH WEST HS","F1","","Soccer","U-14","CHERRY HILL SC CHAOS 2011","PITTSGROVE SOCCER CLUB PSC WOLVES '11",
"18754955","3/2/2025","2:00 PM","Normal","CHSC - CH WEST HS","F1","","Soccer","U-13","CHERRY HILL SC COBRAS 2012","FTYSA CRUSADERS 2012",
"18783448","3/2/2025","12:00 PM","Normal","CHSC - UPPER CHAPEL TURF","S7","","Soccer","U-8","CHERRY HILL SC COBRAS 2017","CHERRY HILL FC 2017 JUNIOR BLACK",
"18700881","3/2/2025","1:15 PM","Normal","CHSC - UPPER CHAPEL TURF","S7","","Soccer","U-9","CHERRY HILL SC 72S 2016","MEDFORD SC GOLD 2016",
"18753502","3/2/2025","2:30 PM","Normal","CHSC - UPPER CHAPEL TURF","S7","","Soccer","U-10","CHERRY HILL SC WARRIORS 2015","SWSA STRIKERS 2015",
"18753933","3/2/2025","3:45 PM","Normal","CHSC - UPPER CHAPEL TURF","S7","","Soccer","U-8","CHERRY HILL SC DYNAMO (2017)","EAST GREENWICH SA EGSA UNITED 2017",
"18687225","3/2/2025","12:30 PM","Normal","CHSC - UPPER CHAPEL TURF","S9","","Soccer","U-12","CHERRY HILL SC FORCE 2013","VOORHEES COSMOS 2013",
"18687256","3/2/2025","2:00 PM","Normal","CHSC - UPPER CHAPEL TURF","S9","","Soccer","U-12","CHERRY HILL SC THUNDER 2013","TAR-KILL SOCCER CLUB TARKILL KNIGHTS 2013",
"18755529","3/2/2025","3:30 PM","Normal","CHSC - UPPER CHAPEL TURF","S9","","Soccer","U-11","CHERRY HILL SC FORCE 2014","HAMMONTON HEAT BOYS 2014",
"18758192","3/2/2025","3:30 PM","Normal","CINNAMINSON SC - MEMORIAL","F1","","Soccer","U-14","CINNAMINSON SC VIPERS 2011","VOORHEES SA ATTACK 2011",
"18755559","3/2/2025","12:30 PM","Normal","CINNAMINSON SC - MEMORIAL","S7","","Soccer","U-10","CINNAMINSON SC PRIME 2015","VOORHEES SA COBRAS 2015",
"18791881","3/2/2025","2:00 PM","Normal","CINNAMINSON SC - MEMORIAL","S7","","Soccer","U-10","CINNAMINSON SC BANDITS 2015","VOORHEES SA PYTHONS 2015",
"18761177","3/2/2025","3:30 PM","Normal","CINNAMINSON SC - MEMORIAL","S7","","Soccer","U-8","CINNAMINSON SC RED 2017","VOORHEES SA BLUE DEVILS 2017",
"18793357","3/2/2025","12:30 PM","Normal","CINNAMINSON SC - MEMORIAL","S9","","Soccer","U-12","CINNAMINSON SC STRIKERS 2013","MILLVILLE REBELS 2013",
"18756941","3/2/2025","2:00 PM","Normal","CINNAMINSON SC - MEMORIAL","S9","","Soccer","U-12","CINNAMINSON SC THUNDERBIRDS 2013","MEDFORD STRIKERS 2013 BOYS",
"18762618","3/2/2025","3:30 PM","Normal","CLAYTON - BENTZ","S7","","Soccer","U-10","CLAYTON SA CLIPPERS 2015","PENNSVILLE EAGLES BLUE 2015",
"18742795","3/2/2025","3:30 PM","Normal","Cohansey - Cumberland County Tech School","S7","","Soccer","U-10","COHANSEY SC DYNAMO 2015","MAINLAND UNITED SA MUSTANGS WHITE 2015-16 B",
"18822551","3/2/2025","2:30 PM","Normal","COSC- Oaklyn Public School","S7","","Soccer","U-9","COSC WARRIORS 2016","HARRISON HURRICANES 2016",
"18822521","3/2/2025","3:45 PM","Normal","COSC- Oaklyn Public School","S7","","Soccer","U-9","COSC SPARTANS 2016","CHERRY HILL FC 2016 JUNIOR BLACK",
"18821213","3/2/2025","12:00 PM","Normal","COSC- Oaklyn Public School","S9","","Soccer","U-11","COSC OUTLAWS 2014","DELRAN FC COBRAS 2015",
"18793358","3/2/2025","1:15 PM","Normal","COSC- Oaklyn Public School","S9","","Soccer","U-12","COSC TITANS 2013","WOODSTOWN WOLVERINES 2013",
"18815477","3/2/2025","12:30 PM","Normal","Delran Middle School","Delran Middle School F1","","Soccer","U-14","DELRAN FC FLASH 2011","WASHINGTON TWP SOCCER CLUB REGULATORS 2011",
"18815447","3/2/2025","2:00 PM","Normal","Delran Middle School","Delran Middle School F1","","Soccer","U-14","DELRAN FC BLAST 2011","VINELAND SA STRIKERS 2011",
"18783555","3/2/2025","3:30 PM","Normal","Delran Middle School","Delran Middle School F1","","Soccer","U-13","DELRAN FC SOCCER GREY 2013B","PALMYRA RIVERTON SC YOUNGBLOODS 2013",
"18783482","3/2/2025","2:00 PM","Normal","DELRAN-DEUTSCH FIELD","S9","","Soccer","U-11","DELRAN FC SOCCER DELRAN FC KNIGHTS 2014","CHERRY HILL FC 2015 JUNIOR RED",
"18822486","3/2/2025","3:30 PM","Normal","DELRAN-DEUTSCH FIELD","S9","","Soccer","U-11","DELRAN FC HAWKS 2014","PENNSVILLE EAGLES 2014",
"18814247","3/2/2025","3:45 PM","Normal","DEPTFORD SC","F1","","Soccer","U-13","DEPTFORD SA THUNDER 2012","DELRAN FC SOCCER DELRAN FC UNITED 2013",
"18994525","3/2/2025","12:00 PM","Normal","DEPTFORD SC","S9","","Soccer","U-11","DEPTFORD PREMIER FC '15 BOYS FUSION","CHERRY HILL SC UNITED 2014",
"18821140","3/2/2025","1:15 PM","Normal","DEPTFORD SC","S9","","Soccer","U-12","DEPTFORD SA TORNADOES 2013","VOORHEES SA RAPTORS 2013",
"18815168","3/2/2025","2:30 PM","Normal","DEPTFORD SC","S9","","Soccer","U-11","DEPTFORD SA UNITED 2014","SWSA LIGHTNING 2014",
"18685450","3/2/2025","12:00 PM","Normal","E GREENWICH - THOMPSON FAMILY PARK","F1","","Soccer","U-16","EAST GREENWICH SA EGSA THUNDER 2009","TAR-KILL SOCCER CLUB TARKILL BLUE DEVILS 2009",
"18752600","3/2/2025","1:45 PM","Normal","E GREENWICH - THOMPSON FAMILY PARK","F1","","Soccer","U-15","EAST GREENWICH SA EGSA CHARGERS 2010","AUDUBON SOCCER YOUTH UNITED 2010",
"18755436","3/2/2025","3:30 PM","Normal","E GREENWICH - THOMPSON FAMILY PARK","F1","","Soccer","U-13","EAST GREENWICH SA EGSA VENOM 2012","SWSA SHARKS 2012",
"18755558","3/2/2025","2:00 PM","Normal","E GREENWICH - THOMPSON FAMILY PARK","S7","","Soccer","U-10","EAST GREENWICH SA EGSA BLACK KNIGHTS 2015","HADDONFIELD SC RED 2015 B",
"18802309","3/2/2025","3:30 PM","Normal","E GREENWICH - THOMPSON FAMILY PARK","S7","","Soccer","U-9","EAST GREENWICH SA EGSA CHAOS 2016","EGG HARBOR SC EAGLES 2016 WHITE",
"18754800","3/2/2025","12:00 PM","Normal","E GREENWICH - THOMPSON FAMILY PARK","S9","","Soccer","U-11","EAST GREENWICH SA EGSA EAGLES 2014","FTYSA KNIGHTS 2014",
"18687223","3/2/2025","1:15 PM","Normal","E GREENWICH - THOMPSON FAMILY PARK","S9","","Soccer","U-12","EAST GREENWICH SA EGSA PANTHERS 2013","HIGHLAND YOUTH SOCCER CLUB CHAOS 2013",
